,strain,pathway,genus,phylum,class,order,family,BUT,PRO
446,Corynebacterium freneyi,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
447,Corynebacterium glaucum,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
448,Corynebacterium glucuronolyticum,WWC,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,1
449,Corynebacterium kroppenstedtii,WWC,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,1
450,Corynebacterium minutissimum,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
451,Corynebacterium mucifaciens,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
452,Corynebacterium propinquum,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
453,Corynebacterium pseudodiphthericum,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
454,Corynebacterium sanguinis,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
455,Corynebacterium simulans,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
456,Corynebacterium striatum,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
457,Corynebacterium tuberculostearicum,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
458,Corynebacterium ulcerans,WWC,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,1
459,Corynebacterium ureicelerivorans,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
460,Corynebacterium xerosis,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
461,Cronobacter sakazakii,,Cronobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,0
462,Cryptobacterium curtum,,Cryptobacterium,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,0,0
463,Cupriavidus metallidurans,,Cupriavidus,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,0,0
464,Curtobacterium flaccumfaciens,,Curtobacterium,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
465,Cutibacterium acnes,WWC,Cutibacterium,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,0,1
466,Cytophaga hutchinsonii,,Cytophaga,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,0,0
467,Deinococcus reticulitermitis,,Deinococcus,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,0,0
468,Deinococcus wulumuqiensis,,Deinococcus,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,0,0
469,Delftia acidovorans,,Delftia,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,0,0
470,Delftia lacustris,,Delftia,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,0,0
471,Dermabacter hominis,,Dermabacter,Actinomycetota,Actinomycetes,Micrococcales,Dermabacteraceae,0,0
472,Dermacoccus nishinomiyaensis,,Dermacoccus,Actinomycetota,Actinomycetes,Micrococcales,Dermacoccaceae,0,0
473,Desemzia incerta,Ace,Desemzia,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,1,0
474,Desulfitobacterium frappieri,Ace,Desulfitobacterium,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,1,0
475,Desulfovibrio desulfuricans,,Desulfovibrio,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,0,0
476,Desulfovibrio fairfieldensis,,Desulfovibrio,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,0,0
477,Desulfovibrio legallii,,Desulfovibrio,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,0,0
478,Desulfovibrio piger,,Desulfovibrio,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,0,0
479,Devosia chinhatensis,,Devosia,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,0,0
480,Devosia limi,,Devosia,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,0,0
481,Devosia riboflavina,,Devosia,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,0,0
482,Dialister invisus,SP,Dialister,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,0,1
483,Dialister pneumosintes,,Dialister,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,0,0
484,Dialister succinatiphilus,SP,Dialister,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,0,1
485,Dielma fastidiosa,,Dielma,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,0,0
486,Dietzia cercidiphylli,,Dietzia,Actinomycetota,Actinomycetes,Mycobacteriales,Dietziaceae,0,0
487,Dietzia cinnamea,,Dietzia,Actinomycetota,Actinomycetes,Mycobacteriales,Dietziaceae,0,0
488,Dietzia kunjamensis,,Dietzia,Actinomycetota,Actinomycetes,Mycobacteriales,Dietziaceae,0,0
489,Dietzia maris,,Dietzia,Actinomycetota,Actinomycetes,Mycobacteriales,Dietziaceae,0,0
490,Dietzia natronolimnaea,,Dietzia,Actinomycetota,Actinomycetes,Mycobacteriales,Dietziaceae,0,0
491,Dorea-formicigenerans-ATCC-27755-MAF-2,,Dorea,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
492,Dorea-longicatena-DSM-13814-MAF-2,,Dorea,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
493,Dyadobacter beijingensis,,Dyadobacter,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,0,0
494,Dyadobacter fermentans,,Dyadobacter,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,0,0
495,Dysgonomonas capnocytophagoides,,Dysgonomonas,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,0,0
496,Dysgonomonas gadei,,Dysgonomonas,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,0,0
497,Edwardsiella tarda,,Edwardsiella,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,0,0
498,Eggerthella lenta,,Eggerthella,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,0,0
499,Eggerthella sinensis,,Eggerthella,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,0,0
500,Eggerthia catenaformis,,Eggerthia,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,0,0
501,Eikenella corrodens,,Eikenella,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,0,0
502,Eisenbergiella tayi,Ace,Eisenbergiella,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,1,0
503,Eisenbergiella tayi,Pro,Eisenbergiella,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,1
504,Empedobacter falsenii,Ace,Empedobacter,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,1,0
505,Enhydrobacter aerosaccus,,Enhydrobacter,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,,0,0
506,Ensifer morelensis,,Ensifer,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,0,0
507,Enterobacter aerogenes,,Enterobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,0
508,Enterobacter asburiae,,Enterobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,0
509,Enterobacter cancerogenus,,Enterobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,0
510,Enterobacter cloacae,,Enterobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,0
511,Enterobacter hormaechei,,Enterobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,0
512,Enterobacter ludwigii,,Enterobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,0
513,Enterobacter massiliensis,Pro,Enterobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
514,Enterobacter muelleri,,Enterobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,0
515,Enterocloster-asparagiformis-DSM-15981-MAF-2,,Enterocloster,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
516,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,,Enterocloster,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
517,Enterococcus asini,,Enterococcus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,0
518,Enterococcus avium,Pro,Enterococcus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,1
519,Enterococcus caccae,,Enterococcus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,0
520,Enterococcus casseliflavus,,Enterococcus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,0
521,Enterococcus cecorum,,Enterococcus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,0
522,Enterococcus dispar,,Enterococcus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,0
523,Enterococcus durans,,Enterococcus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,0
524,Enterococcus faecalis,,Enterococcus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,0
525,Enterococcus faecium,,Enterococcus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,0
526,Enterococcus gallinarum,,Enterococcus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,0
527,Enterococcus hirae,,Enterococcus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,0
528,Enterococcus phoeniculicola,,Enterococcus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,0
529,Enterococcus pseudoavium,,Enterococcus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,0
530,Enterococcus saccharolyticus,,Enterococcus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,0
531,Enterococcus sulfureus,,Enterococcus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,0
532,Enterovibrio nigricans,,Enterovibrio,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,0,0
533,Erysipelatoclostridium ramosum,,Erysipelatoclostridium,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,0,0
534,Escherichia albertii,Pro,Escherichia,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
535,Escherichia coli,,Escherichia,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,0
536,Escherichia fergusonii,Pro,Escherichia,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
537,Escherichia hermannii,,Escherichia,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,0
538,Eubacterium barkeri,Ace,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
539,Eubacterium biforme,,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,0,0
540,Eubacterium callanderi,Ace,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
541,Eubacterium cellulosolvens,Ace,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
542,Eubacterium contortum,Ace,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
543,Eubacterium contortum,Pro,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,0,1
544,Eubacterium coprostanoligenes,,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,0,0
545,Eubacterium cylindroides,,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,0,0
546,Eubacterium desmolans,Ace,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
547,Eubacterium eligens,,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,0,0
548,Eubacterium hadrum,Ace,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
549,Eubacterium hallii,Ace,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
550,Eubacterium limosum,Ace,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
551,Eubacterium moniliforme,Ace,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
552,Eubacterium oxidoreducens,Ace,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
553,Eubacterium ramulus,Ace,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
554,Eubacterium ramulus,Lys,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
555,Eubacterium rectale,Ace,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
556,Eubacterium ruminantium,Ace,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
557,Eubacterium tenue,SP,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,0,1
558,Eubacterium ventriosum ATCC 27560 MAF 2,Ace,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
559,Eubacterium xylanophilum,Ace,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
560,Eubacterium-siraeum-DSM-15702-MAF-2,,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,0,0
561,Eubacterium-ventriosum-ATCC-27560-MAF-2,,Eubacterium,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,0,0
562,Exiguobacterium aurantiacum,,Exiguobacterium,Bacillota,Bacilli,Bacillales,,0,0
563,Facklamia tabacinasalis,Ace,Facklamia,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,1,0
564,Faecalibacterium prausnitzii,Ace,Faecalibacterium,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,1,0
565,Faecalitalea cylindroides,,Faecalitalea,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,0,0
566,Ferrimonas balearica,,Ferrimonas,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,0,0
567,Filifactor alocis,Glu,Filifactor,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,1,0
568,Finegoldia magna,,Finegoldia,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,0,0
569,Flavobacterium cheniae,Ace,Flavobacterium,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1,0
570,Flavobacterium daejeonense,,Flavobacterium,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,0,0
571,Flavobacterium lindanitolerans,,Flavobacterium,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,0,0
572,Flavobacterium mizutaii,,Flavobacterium,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,0,0
573,Flavobacterium oncorhynchi,,Flavobacterium,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,0,0
574,Flavonifractor plautii,Lys,Flavonifractor,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,1,0
575,Flavonifractor plautii,SP,Flavonifractor,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,0,1
576,Fusicatenibacter saccharivorans,,Fusicatenibacter,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
577,Fusobacterium gonidiaformans,Lys,Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,1,0
578,Fusobacterium mortiferum,Ace,Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,1,0
579,Fusobacterium necrogenes,Ace,Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,1,0
580,Fusobacterium necrophorum,Lys,Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,1,0
581,Fusobacterium necrophorum,Acr,Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,0,1
582,Fusobacterium nucleatum,Lys,Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,1,0
583,Fusobacterium nucleatum,Pro,Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,0,1
584,Fusobacterium periodonticum,Lys,Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,1,0
585,Fusobacterium russii,Lys,Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,1,0
586,Fusobacterium varium,Lys,Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,1,0
587,Fusobacterium varium,Pro,Fusobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,0,1
588,Gallibacterium anatis,,Gallibacterium,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,0,0
589,Gemella asaccharolytica,,Gemella,Bacillota,Bacilli,Bacillales,Gemellaceae,0,0
590,Gemella haemolysans,,Gemella,Bacillota,Bacilli,Bacillales,Gemellaceae,0,0
591,Gemella morbillorum,,Gemella,Bacillota,Bacilli,Bacillales,Gemellaceae,0,0
592,Gemella sanguinis,,Gemella,Bacillota,Bacilli,Bacillales,Gemellaceae,0,0
593,Gemmiger formicilis,Ace,Gemmiger,Bacillota,Clostridia,Eubacteriales,,1,0
594,Geobacillus stearothermophilus,,Geobacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,0,0
595,Geobacillus vulcani,Ace,Geobacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
596,Georgenia muralis,,Georgenia,Actinomycetota,Actinomycetes,Micrococcales,Bogoriellaceae,0,0
597,Georgenia satyanarayanai,,Georgenia,Actinomycetota,Actinomycetes,Micrococcales,Bogoriellaceae,0,0
598,Glutamicibacter protophormiae,,Glutamicibacter,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
599,Gordonia rubripertincta,,Gordonia,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,0,0
600,Gordonia terrae,,Gordonia,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,0,0
601,Gordonibacter pamelaeae,,Gordonibacter,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,0,0
602,Granulicatella elegans,,Granulicatella,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,0,0
603,Granulicatella-adiacens-ATCC-49175-MAF-2,,Granulicatella,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,0,0
604,Grimontia hollisae,,Grimontia,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,0,0
605,Haemophilus haemolyticus,,Haemophilus,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,0,0
606,Haemophilus influenzae,,Haemophilus,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,0,0
607,Haemophilus parainfluenzae,,Haemophilus,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,0,0
608,Haemophilus paraphrohaemolyticus,,Haemophilus,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,0,0
609,Haemophilus pittmaniae,,Haemophilus,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,0,0
610,Haemophilus sputorum,,Haemophilus,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,0,0
611,Hafnia alvei,,Hafnia,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,0,0
612,Hafnia paralvei,Pro,Hafnia,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,0,1
613,Helicobacter bilis,,Helicobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,0,0
614,Helicobacter canadensis,,Helicobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,0,0
615,Helicobacter cinaedi,,Helicobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,0,0
616,Helicobacter pametensis,,Helicobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,0,0
617,Helicobacter pullorum,,Helicobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,0,0
618,Helicobacter pylori,,Helicobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,0,0
619,Helicobacter rodentium,,Helicobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,0,0
620,Helicobacter winghamensis,,Helicobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,0,0
621,Herbaspirillum huttiense,,Herbaspirillum,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,0,0
622,Herbaspirillum massiliense,,Herbaspirillum,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,0,0
623,Herminiimonas contaminans,,Herminiimonas,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,0,0
624,Hespellia stercorisuis,,Hespellia,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
625,Holdemanella biformis,,Holdemanella,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,0,0
626,Holdemania filiformis,,Holdemania,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,0,0
627,Holdemania massiliensis,,Holdemania,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,0,0
628,Hungatella hathewayi,,Hungatella,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
629,Hydrogenoanaerobacterium saccharovorans,,Hydrogenoanaerobacterium,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,0,0
630,Hymenobacter rigui,,Hymenobacter,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,0,0
631,Hyphomicrobium facile,,Hyphomicrobium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,0,0
632,Intestinibacter-bartlettii-DSM-16795-MAF-2,,Intestinibacter,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,0,0
633,Intestinimonas butyriciproducens,SP,Intestinimonas,Bacillota,Clostridia,Eubacteriales,,0,1
634,Intestinimonas butyriciproducens,Lys,Intestinimonas,Bacillota,Clostridia,Eubacteriales,,1,0
635,Intestinimonas butyriciproducens,Ace,Intestinimonas,Bacillota,Clostridia,Eubacteriales,,1,0
636,Janibacter anophelis,,Janibacter,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,0,0
637,Janibacter limosus,,Janibacter,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,0,0
638,Janibacter terrae,,Janibacter,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,0,0
639,Jeotgalicoccus halotolerans,,Jeotgalicoccus,Bacillota,Bacilli,Bacillales,Staphylococcaceae,0,0
640,Kallipyga massiliensis,Glu,Kallipyga,Bacillota,Tissierellia,,,1,0
641,Kandleria vitulina,,Kandleria,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,0,0
642,Kerstersia gyiorum,,Kerstersia,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,0,0
643,Kingella oralis,,Kingella,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,0,0
644,Klebsiella oxytoca,Pro,Klebsiella,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
645,Klebsiella pneumoniae,Pro,Klebsiella,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
646,Kluyvera ascorbata,,Kluyvera,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,0
647,Kluyvera georgiana,,Kluyvera,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,0
648,Kocuria halotolerans,,Kocuria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
649,Kocuria kristinae,,Kocuria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
650,Kocuria palustris,,Kocuria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
651,Kocuria polaris,,Kocuria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
652,Kocuria rhizophila,,Kocuria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
653,Kocuria rosea,,Kocuria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
654,Kocuria salsicia,,Kocuria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
655,Kurthia gibsonii,,Kurthia,Bacillota,Bacilli,Bacillales,Planococcaceae,0,0
656,Kurthia massiliensis,,Kurthia,Bacillota,Bacilli,Bacillales,Planococcaceae,0,0
657,Kurthia senegalensis,,Kurthia,Bacillota,Bacilli,Bacillales,Planococcaceae,0,0
658,Kytococcus schroeteri,,Kytococcus,Actinomycetota,Actinomycetes,Micrococcales,Kytococcaceae,0,0
659,Kytococcus sedentarius,,Kytococcus,Actinomycetota,Actinomycetes,Micrococcales,Kytococcaceae,0,0
660,Lachnoanaerobaculum saburreum,,Lachnoanaerobaculum,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
661,Lachnoanaerobaculum umeaense,Lys,Lachnoanaerobaculum,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,1,0
662,Lachnobacterium bovis,Ace,Lachnobacterium,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,1,0
663,Lachnospira pectinoschiza,,Lachnospira,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
664,Lachnospira-eligens-ATCC-27750-MAF-2,,Lachnospira,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
665,Lactobacillus acidophilus,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
666,Lactobacillus agilis,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
667,Lactobacillus alimentarius,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
668,Lactobacillus amylovorus,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
669,Lactobacillus animalis,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
670,Lactobacillus antri,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
671,Lactobacillus brevis,Pro,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,1
672,Lactobacillus buchneri,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
673,Lactobacillus casei,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
674,Lactobacillus coryniformis,,Lactobacillus,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,0,0
